Modality,Method,Avg_Vanilla_Method,Std_Vanilla_Method,Avg_Ours,Std_Ours
Fundus,CLIP-DR-RN-50,0.44392374999999995,0.10722404456207568,0.43887225,0.1025274742833191
Fundus,CLIP-DR-RN-101,0.44559925,0.10580445484123056,0.44216075,0.10714895252987774
Fundus,CLIP-DR-ViT-B/16,0.429012,0.10459638159133422,0.42540775,0.10550759826153121
Fundus,CLIP-DR-ViT-B/32,0.4387425,0.11866098413688186,0.4303945,0.11466609007752322
Fundus,MedCLIP-DR-B/32,0.5655501665,0.11398164997988768,0.56143983325,0.10787657093465265
Fundus,BioMedCLIP-DR-B/32,0.45191991675,0.11473450541768587,0.45095941674999995,0.1147432597725347
Fundus,PLIP-DR-B/32,0.4387184165,0.11794486679477811,0.43675766650000003,0.11781370573963074
Fundus,QuiltNet-DR-B/32,0.45543350000000005,0.12260707753497214,0.45393016675,0.12410227233653089
Histopathology,PLIP-Histo,0.21307633333333334,0.08382202866987493,0.24667833333333333,0.09953911823164466
Histopathology,QuiltNet-Histo,0.19491866666666668,0.10035125949550076,0.205145,0.11432266641834417
X-ray,MedCLIP-X-ray,0.582242,0.11827209443482432,0.5772335,0.11119607687549052
X-ray,BioMedCLIP-X-ray,0.368938,0.16338974971521317,0.3694005,0.17946582238548933
