bucket,CE,Mbls,Margin,CE_total,Mbls_total,Margin_total
< 0,5.318138651471985,4.938271604938271,4.5584045584045585,1053,1053,1053
0–1,6.267806267806268,7.122507122507122,3.798670465337132,1053,1053,1053
1–2,9.686609686609687,16.80911680911681,6.7426400759734095,1053,1053,1053
2–3,11.585944919278253,22.507122507122507,7.977207977207978,1053,1053,1053
3–4,16.80911680911681,24.501424501424502,12.345679012345679,1053,1053,1053
4–5,14.52991452991453,14.339981006647673,12.535612535612536,1053,1053,1053
5–6,12.345679012345679,7.312440645773979,13.010446343779677,1053,1053,1053
6–8,16.71415004748338,2.4691358024691357,21.937321937321936,1053,1053,1053
8–10,6.077872744539412,0.0,12.535612535612536,1053,1053,1053
≥ 10,0.6647673314339981,0.0,4.5584045584045585,1053,1053,1053
